samples	status	replicate
prASH01E	healthy	01
prASH02E	healthy	02
prASH03E	healthy	03
prASH04E	healthy	04
prASH05E	healthy	05
prASH06E	healthy	06
prASH07E	healthy	07
prASH08E	healthy	08
prASH09E	healthy	09
prASH10E	healthy	10
prASH11E	healthy	11
prASH12E	healthy	12
prNSD01E	diseased	01
prNSD02E	diseased	02
prNSD03E	diseased	03
prNSD04E	diseased	04
prNSD05E	diseased	05
prNSD06E	diseased	06
prNSD07E	diseased	07
prNSD08E	diseased	08
prNSD09E	diseased	09
prNSD10E	diseased	10
prNSD11E	diseased	11
prNSD12E	diseased	12
